Name	Protein
Niben261Chr10g0111023.1	Calvin_1
Niben261Chr09g0773003.1	Calvin_2
Niben261Chr10g0644003.1	Calvin_4
Niben261Chr08g1247006.1	Calvin_5
Niben261Chr13g1416011.1	Calvin_6
Niben261Chr12g0039003.1	Calvin_7
Niben261Chr11g1317009.1	Calvin_8
Niben261Chr05g0698012.1	Calvin_9
Niben261Chr11g0710012.1	Calvin_10
Niben261Chr19g0662011.1	Calvin_11
Niben261Chr02g1338012.1	Calvin_12
Niben261Chr01g1439001.1	Calvin_13
Niben261Chr10g1027001.1	Calvin_14
Niben261Chr13g1125004.1	Calvin_15
Niben261Chr19g0930007.1	Calvin_16
Niben261Chr18g0556019.1	Calvin_17
Niben261Chr10g0216001.1	Calvin_18
Niben261Chr03g0853016.1	Calvin_19
Niben261Chr06g0629005.1	Calvin_20
Niben261Chr08g0301056.1	Calvin_21
Niben261Chr04g0653007.1	Calvin_22
Niben261Chr03g0199018.1	Calvin_23
Niben261Chr08g1346007.1	Calvin_26
Niben261Chr08g0015003.1	Calvin_27
Niben261Chr13g0830018.1	Calvin_28
Niben261Chr02g0713001.1	Calvin_29
Niben261Chr19g0866011.1	Calvin_30
Niben261Chr18g1125010.1	Calvin_34
Niben261Chr03g0448001.1	Calvin_35
Niben261Chr06g1036003.1	Calvin_36
Niben261Chr02g0562004.1	Calvin_37
Niben261Chr11g1116011.1	Calvin_38
Niben261Chr05g0405003.1	Calvin_39
Niben261Chr17g0431003.1	Calvin_40
Niben261Chr02g1460009.1	Calvin_41
Niben261Chr16g0872006.1	Calvin_42
Niben261Chr12g0344006.1	Calvin_43
Niben261Chr05g0843008.1	Calvin_44
Niben261Chr01g1663016.1	Calvin_45
Niben261Chr01g1663010.1	Calvin_46
Niben261Chr09g1214006.1	Calvin_47
Niben261Chr13g1310006.1	Calvin_48
Niben261Chr02g0501003.1	Calvin_49
Niben261Chr12g1091002.1	Calvin_50
Niben261Chr08g1084012.1	Calvin_51
Niben261Chr03g0285001.1	Calvin_52
Niben261Chr09g1369018.1	Calvin_53
Niben261Chr07g0902006.1	Calvin_54
Niben261Chr15g1202004.1	Calvin_55
Niben261Chr06g1084016.1	Calvin_56
Niben261Chr08g0173007.1	Calvin_57
Niben261Chr13g1319014.1	Calvin_60
Niben261Chr11g0064002.1	Calvin_61
Niben261Chr01g0119001.1	Calvin_62
Niben261Chr01g0274003.1	Calvin_63
Niben261Chr02g0496004.1	Calvin_64
Niben261Chr12g1100008.1	Calvin_65
Niben261Chr12g0555003.1	Calvin_66
Niben261Chr08g1087009.1	Calvin_67
Niben261Chr11g1236013.1	Calvin_68
Niben261Chr04g1477003.1	Calvin_69
Niben261Chr10g0871003.1	Calvin_71
Niben261Chr13g1261011.1	Calvin_72
Niben261Chr18g0559016.1	Calvin_73
Niben261Chr03g0856010.1	Calvin_74
Niben261Chr18g0559010.1	Calvin_75
Niben261Scf03882g0000005.1	Calvin_76
Niben261Chr03g0856011.1	Calvin_77
Niben261Chr03g0856009.1	Calvin_80
Niben261Chr03g0724005.1	Calvin_83
Niben261Chr03g0812005.1	Calvin_84
Niben261Chr18g0475008.1	Calvin_85
Niben261Chr06g1266009.1	Calvin_86
Niben261Chr07g0141003.1	Calvin_87
Niben261Chr12g0700009.1	Calvin_88
Niben261Chr07g1433011.1	Calvin_89
Niben261Chr01g0131002.1	Calvin_92
Niben261Chr02g0845010.1	Calvin_96
Niben261Chr19g1011018.1	Calvin_97
Niben261Chr08g0180020.1	Calvin_98
Niben261Chr06g1092004.1	Calvin_99
Niben261Chr17g0693016.1	Calvin_100
Niben261Chr17g0693013.1	Calvin_101
Niben261Chr04g1028012.1	Calvin_104
Niben261Chr16g0098010.1	Calvin_105
Niben261Chr07g1128061.1	Calvin_106
Niben261Chr07g1128067.1	Calvin_107
Niben261Chr07g1128052.1	Calvin_108
Niben261Chr07g1128060.1	Calvin_109
Niben261Chr18g0427009.1	Calvin_110
Niben261Chr05g0759010.1	Calvin_113
Niben261Chr11g1264006.1	Calvin_114
Niben261Chr10g0376014.1	Calvin_115
Niben261Chr09g1039003.1	Calvin_116
Niben261Chr03g1559003.1	Calvin_119
Niben261Chr17g0272001.1	Calvin_120
Niben261Chr16g1233007.1	Calvin_121
Niben261Chr06g0446001.1	Calvin_122
Niben261Chr08g0059004.1	Calvin_123
Niben261Chr14g1039002.1	Calvin_124
Niben261Chr14g1184007.1	Calvin_125
Niben261Chr09g1153027.1	Calvin_126
Niben261Chr04g0484002.1	Calvin_127
Niben261Chr03g0401003.1	Calvin_128
Niben261Chr16g0618005.1	Calvin_129
Niben261Chr16g0618006.1	Calvin_130
Niben261Chr02g1036005.1	Calvin_131
Niben261Chr07g0800006.1	Calvin_132
Niben261Chr15g1244006.1	Calvin_133
Niben261Chr09g1343008.1	Calvin_134
Niben261Chr10g0479016.1	Calvin_135
Niben261Chr01g1777003.1	Calvin_136
Niben261Chr19g1459018.1	Calvin_137
Niben261Chr16g0033004.1	Calvin_138
Niben261Chr13g0029021.1	Calvin_139
Niben261Chr07g1072002.1	Calvin_140
Niben261Chr01g1387006.1	Calvin_141
Niben261Chr01g0501010.1	Calvin_142
Niben261Chr02g1139014.1	Calvin_144
Niben261Chr09g1354023.1	Calvin_145
Niben261Chr10g0462019.1	Calvin_146
Niben261Chr13g0025006.1	Calvin_147
Niben261Chr11g1362019.1	Calvin_148
Niben261Chr05g0642004.1	Calvin_149
Niben261Chr07g0775006.1	Calvin_150
Niben261Chr15g1456002.1	Calvin_151
Niben261Chr05g0879001.1	Calvin_153
Niben261Chr07g0009017.1	Calvin_156
Niben261Chr15g0806005.1	Calvin_157
Niben261Chr15g0316011.1	Calvin_158
Niben261Chr05g0843009.1	Calvin_165
Niben261Chr01g0964004.1	Calvin_167
Niben261Chr08g0781006.1	Calvin_168
Niben261Chr03g0801007.1	Calvin_169
Niben261Chr14g0768001.1	Calvin_170
Niben261Chr01g0961002.1	Calvin_171
Niben261Chr01g0961001.1	Calvin_172
Niben261Chr17g0827002.1	Calvin_174
Niben261Chr19g0531005.1	Calvin_176
Niben261Chr18g1177005.1	Calvin_177
Niben261Chr07g1216015.1	Calvin_179
Niben261Chr06g0294003.1	Calvin_180
Niben261Chr12g1553005.1	Calvin_181
