Name	Protein
Niben261Chr03g0496018.1	TCArel_168
Niben261Chr01g0980006.1	TCArel_169
Niben261Chr03g0573002.1	TCArel_170
Niben261Chr01g0982004.1	TCArel_172
Niben261Chr08g0458001.1	TCArel_173
Niben261Chr06g0801020.1	TCArel_174
Niben261Chr09g0098006.1	TCArel_175
Niben261Chr19g1149009.1	TCArel_176
Niben261Chr10g0151001.1	TCArel_177
Niben261Chr19g1161012.1	TCArel_178
Niben261Chr09g1364005.1	TCArel_179
Niben261Chr11g1311012.1	TCArel_180
Niben261Chr11g1311020.1	TCArel_181
Niben261Chr03g0277009.1	TCArel_182
Niben261Chr05g0498002.1	TCArel_183
Niben261Chr04g0203004.1	TCArel_184
Niben261Chr17g1454009.1	TCArel_185
Niben261Chr13g0926012.1	TCArel_186
Niben261Chr05g1156001.1	TCArel_187
Niben261Chr05g1328011.1	TCArel_188
Niben261Chr07g0868001.1	TCArel_189
Niben261Chr15g1317003.1	TCArel_190
Niben261Chr07g1198002.1	TCArel_191
Niben261Chr15g1014004.1	TCArel_192
Niben261Chr06g0379003.1	TCArel_193
Niben261Chr02g1163009.1	TCArel_195
Niben261Chr13g0010001.1	TCArel_196
Niben261Chr15g1062005.1	TCArel_197
Niben261Chr07g1177012.1	TCArel_198
Niben261Chr06g1409026.1	TCArel_199
Niben261Chr18g0006011.1	TCArel_200
Niben261Chr05g0283019.1	TCArel_201
Niben261Chr11g1025005.1	TCArel_202
Niben261Chr17g1043008.1	TCArel_203
Niben261Chr04g0899010.1	TCArel_204
Niben261Chr06g1488017.1	TCArel_206
Niben261Chr06g0481009.1	TCArel_207
Niben261Chr06g0266003.1	TCArel_208
Niben261Chr19g1288005.1	TCArel_209
Niben261Chr02g0387008.1	TCArel_210
Niben261Chr11g1116011.1	TCArel_211
Niben261Chr05g0405003.1	TCArel_212
Niben261Chr17g0431003.1	TCArel_213
Niben261Chr02g1460009.1	TCArel_214
Niben261Chr16g0872006.1	TCArel_215
Niben261Chr12g0344006.1	TCArel_216
Niben261Chr05g0843008.1	TCArel_217
Niben261Chr01g1663016.1	TCArel_218
Niben261Chr01g1663010.1	TCArel_219
Niben261Chr09g1214006.1	TCArel_220
Niben261Chr11g0649001.1	TCArel_221
Niben261Chr03g0146010.1	TCArel_222
Niben261Chr08g0056007.1	TCArel_223
Niben261Chr08g1306009.1	TCArel_224
Niben261Chr13g0806011.1	TCArel_225
